0,1,2
reactivity(MIR),,
InternationalInventories,,
Country(s)orregion,Inventoryname,Oninventory(yes/no)*
Australia,AustralianInventoryofChemicalSubstances(AICS),Yes
Canada,DomesticSubstancesList(DSL),Yes
Canada,Non-DomesticSubstancesList(NDSL),No
China,InventoryofExistingChemicalSubstancesinChina(IECSC),Yes
Europe,EuropeanInventoryofExistingCommercialChemical,Yes
,Substances(EINECS),
Europe,EuropeanListofNotifiedChemicalSubstances(ELINCS),No
Japan,InventoryofExistingandNewChemicalSubstances(ENCS),Yes
Korea,ExistingChemicalsList(ECL),Yes
NewZealand,NewZealandInventory,Yes
Philippines,PhilippineInventoryofChemicalsandChemicalSubstances,Yes
,(PICCS),
UnitedStates&PuertoRico,ToxicSubstancesControlAct(TSCA)Inventory,Yes
"*A""Yes""indicatesthatallcompon",entsofthisproductcomplywiththeinventoryrequirementsadministeredbyt,hegoverningcountry(s)
